channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct,n_sponsored,sponsor_rate,n_child_brands,degree,family_partners,adult_partners,mean_exploit_v4,std_exploit_v4,total_views,log_total_views,log_n_child_brands,ci_pca,ci_equal,lii_pca,lii_equal
jeffreestar,adult,436,5918,16.202600958247775,0.5157147685028727,2.210206150726597,3.967743055555556,18.17656727828746,132.08305555555555,0.669566013292779,0.4686962093049454,0.425819533626225,0.6056100033795201,42.22222222222223,46.0,0.1055045871559633,87.0,1.0,0.0,1.0,0.07938191,0.07422481,2616257806,9.417680537131805,4.477336814478207,0.20563371799435926,0.2883492680072177,0.21604035735527158,0.3148476617755672
jordanmatter,family,571,5917,16.199863107460644,0.6755112388034478,2.8950481663004903,6.999780092592593,15.493228254524226,147.4438888888889,0.7475607008055885,0.5232924905639119,0.1680189317106152,1.183231913455037,604.225352112676,27.0,0.0486486486486486,77.0,10.0,6.0,4.0,0.11646177,0.097146004,14053265859,10.147777262299748,4.356708826689592,0.649962064980215,0.5359135806505082,0.19545419576136652,0.3317028233977731
kara_and_nate,adult,1046,3757,10.286105407255304,1.948895395262177,8.352408836837903,2.0226967592592597,15.66146232439336,272.50944444444445,2.176013663383906,1.5261275903541145,2.855165069222577,1.0436634717784878,-63.44647519582245,138.0,0.1386934673366834,11.0,1.0,1.0,0.0,-0.0786229,0.072544776,1010972058,9.004739152401969,2.4849066497880004,0.17922455197620413,0.27061856139394225,0.29343006491097656,0.22780133110900452
kkandbabyj,family,2345,4008,10.97330595482546,4.0955588822355296,17.55239520958084,1.033443287037037,15.026886993603412,587.3008333333333,4.395964321357286,3.0771750249501006,5.864770459081837,2.3263473053892216,-60.33353186420488,234.0,0.1016066000868432,136.0,0.0,0.0,0.0,0.08174845,0.09356071,618720598,8.791494574479401,4.919980925828125,0.20039016396853654,0.27521653822977105,0.4222361542103208,0.46074682082514506
kurzgesagt,adult,357,4672,12.791238877481176,0.5348886986301369,2.292380136986301,7.0600000000000005,6.9328197945845,41.250277777777775,0.2648776398401826,0.1854143478881278,0.3176369863013699,0.752140410958904,136.79245283018864,37.0,0.103641456582633,15.0,0.0,0.0,0.0,0.027623048,0.08400073,3675791154,9.56535082827393,2.772588722239781,0.13990574051756866,0.24491299183156395,0.09513860880434444,0.1769899457746204
labrantfam,family,3,55,0.1505817932922655,0.3818181818181818,1.6363636363636362,27.99178240740741,0.5444444444444445,0.0272222222222222,0.0148484848484848,0.0103939393939393,0.2592592592592592,0.5185185185185185,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.06241623,0.081683286,189,2.2764618041732443,0.0,0.06351916047143447,0.0738095238095238,0.015253204392474712,0.14800342438644523
linustechtips,adult,7168,6362,17.418206707734427,7.886828041496385,33.80069160641308,0.9632291666666668,21.887190582542345,2613.330555555556,12.323155716231794,8.631025421798528,8.324740647595096,7.448915435397674,-10.520750726936292,1385.0,0.1943041526374859,520.0,3.0,1.0,2.0,0.021618629,0.06749936,9474649073,9.976563133312188,6.255750041753367,0.3364330949702824,0.4046990713768768,0.8233473276377647,0.699688268470053
markiplier,adult,5719,5084,13.919233401779604,7.874311565696303,33.74704956726987,0.8229224537037036,25.288235979946368,2409.968888888889,14.220902176763705,9.956372452647454,12.053107789142407,3.695515342250197,-69.3397304089559,49.0,0.0085724282715185,391.0,2.0,1.0,1.0,0.10329395,0.07933686,23461940641,10.3703639316849,5.971261839790462,0.3581049309089517,0.35859102441446855,0.8892959729677135,0.8232955944020018
markwiens,adult,1597,6291,17.22381930184805,1.7769829915752662,7.615641392465426,3.0001793981481484,20.92350240033396,556.9138888888889,2.6557648492555503,1.859035394478885,1.731637519872814,1.8228934817170117,5.269922879177384,276.0,0.1730407523510971,172.0,3.0,1.0,2.0,-0.09400187,0.05547017,3197741112,9.504843300504337,5.153291594497779,0.29381625921830257,0.36515204956093605,0.3494519074748269,0.25740290002688765
mattdavella,adult,467,5362,14.680355920602327,0.6096605744125326,2.6128310331965685,4.993674768518519,21.638412017167383,168.05833333333334,0.9402741514360314,0.6596043349880657,0.6344647519582245,0.5848563968668408,-7.8189300411522495,110.0,0.2360515021459227,8.0,2.0,1.0,1.0,0.044088483,0.08770472,329954142,8.518453584543733,2.1972245773362196,0.1524702321277062,0.2828534531953789,0.2631726404029789,0.3188458438044393
mkbhd,adult,1813,6600,18.069815195071868,1.922878787878788,8.240909090909092,2.9814872685185185,7.881576526857985,238.0236111111111,1.081925505050505,0.7577658159269295,1.909090909090909,1.9366666666666668,1.4444444444444566,45.0,0.0252383623107122,18.0,4.0,2.0,2.0,0.057590213,0.065321065,5323482627,9.726195841100683,2.9444389791664403,0.3147533808019503,0.325824766471844,0.184623473406184,0.266344957277282
mrbeast,adult,970,5180,14.182067077344286,1.3108108108108107,5.617760617760617,3.0,15.616477468180252,252.2061111111111,1.4606531531531532,1.0235123746037058,1.5891891891891894,1.0324324324324323,-35.03401360544219,45.0,0.055079559363525,123.0,9.0,3.0,6.0,0.08724281,0.09143215,119409838903,11.077040112431856,4.820281565605037,0.5038909433200833,0.4740760344156115,0.24152020403379054,0.33839345240945523
mrwhosetheboss,adult,1900,5483,15.011635865845312,2.4256793726062376,10.39576873974102,1.9909027777777777,7.183359662980516,227.35333333333327,1.2439540397592557,0.8712263680251766,2.707041225829989,2.1452024808464065,-20.75471698113208,169.0,0.0912034538586076,111.0,5.0,1.0,4.0,0.053891353,0.07513425,8531256575,9.931013003429728,4.718498871295094,0.32148812246880637,0.36385768197937873,0.20442283431968628,0.27613964432509963
natacha_oceane,adult,230,2863,7.838466803559206,0.5623471882640586,2.410059378274537,7.928472222222222,16.22768115942029,62.20611111111111,0.6518279194318314,0.4562795436022819,0.8560447239692524,0.2690426275331936,-68.57142857142857,148.0,0.6434782608695652,16.0,0.0,0.0,0.0,-0.063578725,0.08654174,162803782,8.211664489512964,2.833213344056216,0.017845280457909285,0.33303306066106514,0.20444702107516466,0.1785641674398014
nikkietutorials,adult,944,6497,17.78781656399726,1.0170848083730952,4.358934893027551,4.802025462962963,11.1170197740113,174.90777777777777,0.8076394233235852,0.5653475963265097,1.271551724137931,0.7629310344827587,-40.0,295.0,0.3379152348224513,55.0,0.0,0.0,0.0,0.06972487,0.07017946,2432019293,9.385967015835156,4.02535169073515,0.1366081982756771,0.31946464233990224,0.16954976933113483,0.26916563076088545
