id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
azUcttsi3Ak,We challenged a 600 Pound Sumo! Ninjas vs Sumo!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
xB-tmKCvxu4,SMASH! Super Team-UP! Movie,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
1BcbDYtORH0,We Found A Giant Ninja Battle Robot!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
UgS0juE-l5w,Ninja Kidz Team Up With Batman and Robin Movie Remastered!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
k9aXRR0xl4Q,Which Ninja Kid is the Strongest? SuperStar Strength Challenge!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
dPrF3sD_WVc,We got turned into Akedo Warriors!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
h1j-aB2H_g0,Ninja Warrior Race! Who is the Best NINJA?,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
rrHB_--JYkA,Space Ninjas and Heroes of Goo Jit Zu Galaxy Attack!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
GQevb-Zsm8U,Ninjaz VS Monsters! Treasure X Monsters Gold,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
nFAgTAL9LfI,Dinosaurs Take Over Our HOUSE!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
VToFM09WSYc,Space Jam! A New Legacy,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Yb6gXRfjv5o,Teaching our mom to do a Back Flip! She Can’t say NO!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
ens8jygAF2M,Daddy SMASH!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YpbhTIwSj9U,Pranking our entire family with Robofish!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
NapmZMF3btA,Zombies vs Water Balloons!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
akuYPL1y8FA,Family survival challenge! DESERTED ISLAND! Day 2,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
abBxLrDKVbI,Surviving 50 Hours on a Deserted Island!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
xbjXFE6spPI,JUSTICE LEAGUE NINJAZ!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
fRJJTsjlw0s,Swimming with SHARKS! Overcoming Fear!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
1xQLDYGPZ9k,Ninja Kidz Break into Shadow Corporation Headquarters!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YX4mYLElLqI,IMPOSTERS! April Fools Pranks!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
