video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
-hS-SgbHvGY,3,2,0.667,116.6,193.4,72.3,0.0956,0.0298,0.0647,0.1133
VZTZYD3Dbjc,5,1,0.2,117.2,184.5,74.3,0.3686,0.021,0.0517,0.2709
lQFg2t2e8t0,2,0,0.0,98.6,118.8,84.0,0.0663,0.0203,0.1249,0.1768
DBkcuepQY9I,3,0,0.0,98.1,195.0,59.9,0.1825,0.0976,0.0401,0.0928
rOs-s7nwYYY,3,0,0.0,106.6,174.3,77.7,0.182,0.0297,0.0372,0.0834
H-VGtqrvZ-Q,3,0,0.0,107.3,165.1,63.0,0.2462,0.0129,0.0404,0.0306
k4fZV6Q6Iz0,0,0,0,95.0,176.8,67.2,0.0525,0.0298,0.0676,0
8ni8kdhGTc0,3,1,0.333,145.2,179.8,69.8,0.1436,0.0093,0.0783,0.0861
GgPcIEwcCvI,3,1,0.333,108.5,185.6,79.0,0.2463,0.0302,0.0388,0.1099
TWceX5zCb8k,2,1,0.5,86.0,203.4,54.9,0.0606,0.0236,0.05,0.064
hxdSiqwlgKQ,1,1,1.0,124.9,167.2,69.1,0.3258,0.0437,0.0233,0.1988
6J1PbYwqjJA,2,1,0.5,96.9,162.4,67.1,0.2047,0.0462,0.0375,0.1545
y9jocq0f_HQ,2,0,0.0,144.0,161.0,70.7,0.2718,0.1448,0.0666,0.0621
PtB_A_MuYws,3,1,0.333,102.1,165.1,60.8,0.201,0.095,0.0592,0.1613
C9FbCrLaQnI,5,0,0.0,151.7,150.7,78.0,0.0779,0.0358,0.0815,0.0488
C2zXgfOKlR4,3,0,0.0,81.1,174.9,69.1,0.1339,0.0647,0.0491,0.0179
8QozCBdMsto,3,0,0.0,80.3,166.5,67.7,0.179,0.0214,0.0842,0.0961
OZQHb8T2LQs,0,0,0,134.6,99.1,70.5,0.2256,0.1291,0.1309,0
y7JdT0iOBZg,1,1,1.0,132.8,189.3,76.6,0.4935,0.0376,0.0255,0.0559
NF4M6hEhdFg,2,0,0.0,106.6,147.2,81.0,0.1571,0.0285,0.0762,0.0453
uZvETpj28r0,4,0,0.0,112.6,182.7,74.8,0.1,0.028,0.1041,0.0236
APFj4AYLNG8,2,1,0.5,106.2,176.4,66.5,0.2447,0.0717,0.0428,0.1553
fwzWmokfj6k,3,1,0.333,108.2,156.4,78.1,0.1729,0.0878,0.0608,0.1816
jfpZQyinCBo,0,0,0,85.9,173.4,95.0,0.2495,0.0369,0.0355,0
DLemOYEv7uQ,6,1,0.167,104.3,171.7,66.1,0.1812,0.0434,0.0505,0.1389
W31mqT-3kns,2,0,0.0,89.4,172.0,69.0,0.2144,0.0061,0.0446,0.077
MtPm1Q-oQxk,1,0,0.0,103.1,149.9,69.3,0.163,0.043,0.0484,0.0564
vv-DZJYhluo,2,0,0.0,80.8,177.4,62.7,0.1481,0.0239,0.0369,0.1262
