id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word
Ob0AALvyR2M,tannerites,43010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,0.7727272727272727,2,0,0,0,0,1
fXQ8M0ie75M,tannerites,13818.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3,0.8333333333333334,0,1,0,0,0,1
lAfHLo1SGtE,tannerites,15853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,0.7333333333333333,3,0,0,0,0,1
xrkk8Dw-B3M,tannerites,14002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,12,0.7090909090909091,2,1,0,0,1,1
b1uq1zRhA10,tannerites,59723.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0.13157894736842105,1,0,0,1,0,1
xCFupFOUe0E,tannerites,32638.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0.7692307692307693,2,0,0,0,0,1
vIClphgdT_w,tannerites,35600.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0.2,0,0,0,0,0,0
_PFz8sQjgcY,tannerites,223952.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.625,0,0,0,0,1,1
P0x2hvtI_9M,tannerites,16979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,0.675,2,1,0,0,1,1
nnFHGb76V-E,tannerites,13455.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.75,2,0,0,0,0,1
QfhN-wvq_Aw,tannerites,244731.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0.7692307692307693,2,0,0,0,0,1
SMHTVDx0JHQ,tannerites,63083.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,0.8,2,0,0,0,0,1
ULYLGQWkkN8,tannerites,261340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0.7142857142857143,2,0,0,0,1,1
b5LZ9DS-GOo,tannerites,14120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,0.7391304347826086,1,1,0,0,0,1
-lPIsWGWLnE,tannerites,29193.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.5714285714285714,1,0,0,0,0,0
ajbGouit6bM,tannerites,31353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.55,2,0,0,0,1,1
O-AUKR_Dv_M,tannerites,17424.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,12,0.6896551724137931,2,1,0,0,1,1
TBOXsjyoulA,tannerites,30329.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.8125,1,0,0,0,0,1
KF_uupB_Tiw,tannerites,49987.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0.8148148148148148,2,0,0,0,0,1
WOqPKehacMQ,tannerites,236300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0.3953488372093023,3,0,1,0,0,1
IgYkE9c1RJc,tannerites,16803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,14,0.726027397260274,2,1,0,0,1,1
aTNnoRNsRVM,tannerites,13282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.55,2,0,0,0,1,1
-3DNzU4yy7E,tannerites,30178.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.7777777777777778,0,0,0,0,0,1
krJ2Sg7G61o,tannerites,168438.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0.18181818181818182,2,0,0,0,0,0
94ldDDig7oo,tannerites,12353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0.7916666666666666,2,0,0,0,0,1
XKT2GBPNuoc,tannerites,34345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0.24,2,0,0,0,0,0
NH-JkHVZLWc,tannerites,54735.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,9,0.6511627906976745,3,1,0,0,1,1
v02mk6CS-H0,tannerites,36529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,3,0.8181818181818182,2,0,0,0,0,1
AWbdIeue9GU,tannerites,44385.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.8333333333333334,0,0,0,0,0,1
BCaw_RApXFg,tannerites,18142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.75,2,0,0,0,0,1
A5uQVF_k96w,tannerites,38184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0.7058823529411765,4,0,0,0,0,1
bpHPyJ9Nti4,tannerites,215628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0.041666666666666664,2,0,0,0,0,0
Wmf4edyy_js,tannerites,18415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0.6428571428571429,4,0,0,0,0,1
xdg8fyk2miM,tannerites,11598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,0.6808510638297872,4,0,0,0,1,1
qhYoML8T5aw,tannerites,79900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0.6923076923076923,2,0,0,0,0,1
SgHmX_b9Ps4,tannerites,489889.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,0.6285714285714286,1,0,0,0,0,1
3CeDZony1Ek,tannerites,611558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0.5333333333333333,2,0,0,0,1,1
tKPiS6mA6cM,tannerites,458041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.5294117647058824,3,0,0,0,0,1
ecqsSBPMl-o,tannerites,416203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0.7368421052631579,2,0,0,0,0,1
IWpUB-BN848,tannerites,12337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0.7045454545454546,2,1,0,0,1,1
A8C7xsG9g4M,tannerites,44991.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,4,0.6896551724137931,2,0,0,0,1,1
U9qehf7oArA,tannerites,116813.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0.6363636363636364,2,0,0,0,0,1
VLoRSZ055Vk,tannerites,29731.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0.8,2,0,0,0,0,1
uIJxgPDL6vY,tannerites,72959.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20,3,0.8,2,0,0,0,0,1
FGcdYY36IXU,tannerites,415875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,4,0.7,2,0,0,0,1,1
3GqyTrgt6yc,tannerites,7415.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0.7837837837837838,1,0,0,0,1,1
RiN06GY_Vvk,tannerites,67953.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0.8,2,0,0,0,0,1
jEzJE8ugnHE,tannerites,55801.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0.7407407407407407,3,0,0,0,0,1
NfxDIcU6k7s,tannerites,12032.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.8,2,0,0,0,0,1
BwKKxLe4bVE,tannerites,6258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,13,0.673469387755102,0,1,0,0,1,1
Vus8T-pPgac,tannerites,991285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0.6842105263157895,2,0,1,0,0,1
o_mt39L6Zvg,tannerites,33190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,3,0.8181818181818182,2,0,0,0,0,1
THfuuOZOVqk,tannerites,6244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,3,0.6923076923076923,2,0,0,0,0,1
aHW314CTyzM,tannerites,115178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0.09523809523809523,2,0,0,0,0,0
