id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word,cluster_v2
Cgogkk9zZ0Y,acefamily,3057012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0.7837837837837838,3,0,0,0,0,1,2
Nwx5v9CDDW4,acefamily,5620405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,7,0.7045454545454546,0,0,0,1,0,1,2
DEYkgx750NI,acefamily,3305707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,6,0.8055555555555556,1,0,0,0,0,1,2
iSPVv0YaKZY,acefamily,2641918.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,4,0.7352941176470589,1,0,0,0,1,1,2
DRiQ-Om-DWs,acefamily,1350734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0.6428571428571429,0,0,0,1,0,1,2
c0vqKd78GPw,acefamily,3539284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0.8636363636363636,0,0,0,0,0,1,2
gtYZ_lA9ne0,acefamily,1509724.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0.175438596491228,1,0,0,0,0,0,1
y-FgSKUffBQ,acefamily,3009061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,12,0.390625,1,0,0,0,1,1,1
hvdLCxatzUM,acefamily,1773460.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,8,0.7037037037037037,3,0,0,0,1,1,2
PMsG-lKEmPk,acefamily,2691679.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0.7115384615384616,3,0,0,0,0,1,2
EUmH_kK5C4k,acefamily,1936469.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8,0.7169811320754716,3,0,0,1,0,1,2
CUdONzxaTu8,acefamily,2561285.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0.7567567567567568,3,0,0,0,0,1,0
c4dYLxq-jYM,acefamily,3457767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0.75,0,1,0,0,0,1,2
YdcuFdIthA4,acefamily,1742832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,3,0.782608695652174,0,0,0,1,0,1,2
kTbNhNtTqMA,acefamily,2166839.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0.7916666666666666,3,0,0,0,0,1,2
UIGrQbtZueQ,acefamily,4259509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,6,0.775,3,0,0,0,1,1,2
ZvAgUj_p31U,acefamily,6814769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,0.74,3,0,0,0,0,1,2
narePQAJw80,acefamily,3428170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0.7,0,0,0,1,0,1,2
w-YcuwZerdk,acefamily,4973681.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,48,6,0.75,1,0,0,0,1,1,2
K5byYX4k2TY,acefamily,2971479.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0.7307692307692307,0,0,0,1,0,1,2
ARlIjH0ij7c,acefamily,5068890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,17,0.7386363636363636,3,0,0,0,0,1,1
yYkBER4fM-I,acefamily,2196402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0.7083333333333334,0,0,0,1,0,1,2
GBnDOueMKJ0,acefamily,4404146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,8,0.6976744186046512,3,0,0,0,1,1,2
saMsJ-v2hUw,acefamily,4014876.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,10,0.7538461538461538,3,0,0,0,0,1,2
YEY_XYAqVag,acefamily,2114774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0.7222222222222222,0,0,0,1,0,1,2
