channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
bonniehoellein,family,1,307,8755146,0.11070992,0.13320525,0.02249533
bonniehoellein,family,1,362,11012321,0.11074473,0.08269941,-0.028045319
bonniehoellein,family,1,370,8799034,0.08434026,0.115570165,0.031229906
bonniehoellein,family,1,376,4289001,0.10139279,0.12874565,0.027352855
bonniehoellein,family,1,384,4608078,0.11006012,0.094448105,-0.015612014
bonniehoellein,family,1,386,9579575,0.14386371,0.08219458,-0.061669126
bonniehoellein,family,1,407,4547962,0.0691527,0.08128862,0.012135923
bonniehoellein,family,1,442,5175626,0.054354608,0.12249108,0.06813647
bonniehoellein,family,1,549,5002956,0.103778504,0.055756934,-0.04802157
bonniehoellein,family,1,575,80960004,-0.055533677,0.04898084,0.10451452
bonniehoellein,family,1,585,5825727,0.033032425,0.067473166,0.03444074
bonniehoellein,family,1,635,17897141,0.12330302,0.09803345,-0.025269568
bonniehoellein,family,1,709,15638119,0.0605731,0.05741606,-0.003157042
bonniehoellein,family,1,749,8195658,0.06747445,-0.012719286,-0.080193736
bonniehoellein,family,1,797,6891833,0.051303945,0.090473786,0.03916984
bonniehoellein,family,1,921,4624324,0.21601336,0.05361872,-0.16239464
bonniehoellein,family,1,966,8657056,0.07907264,0.077484764,-0.0015878752
bonniehoellein,family,1,1064,7271774,0.14857242,0.11170721,-0.036865205
bratayley,family,1,41,10016765,0.08461753,-0.004336181,-0.08895371
bratayley,family,1,54,15111824,0.012341852,0.0484441,0.036102246
bratayley,family,1,67,24132059,0.051103912,0.09504964,0.04394573
bratayley,family,1,109,72951711,-0.03221627,-0.022199433,0.010016836
bratayley,family,1,116,18102065,-0.023472814,0.029612878,0.053085692
bratayley,family,1,124,11811265,0.017692616,0.018145347,0.0004527308
bratayley,family,1,139,14480627,0.033555336,0.03203105,-0.0015242845
bratayley,family,1,147,21678897,0.015501564,0.015905337,0.00040377304
bratayley,family,1,167,43501205,0.014572473,0.03997488,0.025402406
bratayley,family,1,180,23863204,0.040519923,0.03146839,-0.009051532
bratayley,family,1,184,15659712,0.04946363,-0.03199313,-0.08145676
bratayley,family,1,265,23384393,-0.021376178,0.0050445953,0.026420772
bratayley,family,1,391,31101603,0.021344107,0.064548075,0.04320397
bratayley,family,1,491,9586190,-0.024029175,0.021012908,0.045042083
bratayley,family,1,509,15283458,0.04340688,0.051395886,0.007989004
bratayley,family,1,580,10172929,0.028572327,0.060837694,0.032265365
bratayley,family,1,861,15957785,0.06166301,0.08594749,0.024284482
bratayley,family,1,898,15918897,0.06551848,0.04586052,-0.019657962
bratayley,family,1,928,9551664,0.03339018,0.032999333,-0.00039084628
bratayley,family,1,935,8642582,0.029693436,0.012118941,-0.017574495
bratayley,family,1,966,11628027,0.039316677,0.047737915,0.0084212385
bratayley,family,1,969,18024749,0.021810183,0.043017656,0.021207472
bratayley,family,1,978,18258231,0.05394395,0.09748362,0.04353967
bratayley,family,1,979,13253914,0.05833147,0.09787063,0.039539162
bratayley,family,1,986,13182513,0.07755149,0.025978154,-0.051573336
bratayley,family,1,1037,13084003,0.038901385,0.05694698,0.018045597
bratayley,family,1,1038,8948413,0.03736865,0.06793649,0.030567836
bratayley,family,1,1043,8241796,0.008660444,0.07677466,0.06811421
bratayley,family,1,1046,8407527,0.043108873,0.12878238,0.0856735
bratayley,family,1,1083,11591064,0.07791966,0.05153834,-0.026381321
bratayley,family,1,1096,14225795,0.06080416,0.051960737,-0.008843422
bratayley,family,1,1102,21485607,0.03065308,0.1249045,0.09425142
bratayley,family,1,1153,9760386,0.0742703,0.04600144,-0.028268859
bratayley,family,1,1159,39230855,0.053518303,0.024018902,-0.0294994
bratayley,family,1,1170,29223907,0.024018902,0.061199497,0.037180595
bratayley,family,1,1176,32182738,0.06917168,0.12646341,0.05729173
bratayley,family,1,1177,8368600,0.057566363,0.13469054,0.07712418
bratayley,family,1,1179,16765333,0.05703323,0.11850772,0.06147449
bratayley,family,1,1181,10198306,0.061199497,0.10740926,0.046209764
bratayley,family,1,1185,12800654,0.097630486,0.06873515,-0.028895333
bratayley,family,1,1203,13737611,0.01897028,0.12400973,0.10503945
bratayley,family,1,1211,10153353,0.10784651,0.058053933,-0.04979258
bratayley,family,1,1214,10979386,0.12400973,0.049551617,-0.07445811
bratayley,family,1,1250,8299831,0.1035514,-0.004670979,-0.10822238
bratayley,family,1,1270,11792195,0.036397565,0.014798285,-0.02159928
bratayley,family,1,1293,11709009,0.024860447,0.08152989,0.056669444
