channel_id,channel_title,subscribers,n_videos,total_videos_on_channel,cross_platform,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,avg_views,median_views,risk_score
UC1CVU1pV2rqs8zSIy_OPPHA,Caleb Kids Show,2120000,50,638,0,0.38,0.08,0.24,1.06,0.96,1803393.86,987829.5,0.3618686660079692
UCeJICuSKNGMVQbAAzH6DcAw,Family Fizz,2780000,50,1453,0,0.48,0.18,0.68,0.94,0.6,271955.7,232657.5,0.348828769653068
UCqh9gGUn9Y9Soo94R2qPfcw,Noob Family Vlogs,198000,49,211,0,0.5306122448979592,0.061224489795918366,0.46938775510204084,1.6734693877551021,0.3877551020408163,78306.57142857143,56802.0,0.32507988134506327
UCMLqsgXvM6Vs0aiegOdrtLQ,Big Big Family in the USA,164000,18,2938,1,1.0555555555555556,0.16666666666666666,1.0,1.2777777777777777,0.16666666666666666,23419.5,21462.0,0.3199693596474072
UCGZA0_5LShndtki1B1WCQ3g,Beyond Our Doorstep,161000,50,231,1,0.28,0.02,0.58,1.18,0.64,7933.1,6204.5,0.31402426860241317
UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,18000000,50,713,2,1.0,0.04,1.22,1.58,0.12,989937.02,860181.5,0.31280730289194075
UCaj3LX7pAAXqVIuOTLOPc2g,The Family Vlogs,6010,19,19,0,0.5789473684210527,0.05263157894736842,1.0,1.6842105263157894,0.05263157894736842,8582.684210526315,1921.0,0.29711510676427616
UCFCKt1z8dli47-J5rI5yd3g,BIG FAMILY,57500,50,2391,2,0.66,0.0,0.84,0.92,0.56,2797.6,1129.5,0.282910895892618
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,132000000,50,1066,4,0.06,0.02,0.4,0.3,1.0,9761939.54,5660960.5,0.27495656260951007
UCx3RchaoRFpDpB60x7xRREw,Meekah - Educational Videos for Kids,6080000,42,1190,3,0.023809523809523808,0.30952380952380953,0.23809523809523808,0.09523809523809523,0.5952380952380952,165344.2857142857,134732.0,0.2679732095297591
UCPu78bdv1WY6b9Kk7xixhQw,The Ingham Family,1380000,30,3459,0,0.5,0.0,1.0,1.0666666666666667,0.3333333333333333,26341.966666666667,23934.0,0.2654532265452857
UC_8BKDmjs7jWcjtxOUq9xmg,Hustle at Home Mom,244000,40,406,2,0.725,0.075,0.0,2.125,0.0,103156.7,91156.5,0.2651488434876303
UC1vyr5sGa-vcl7nDVMj1s_A,The Mummy Vlogger,45000,50,341,3,0.2,0.26,0.86,0.78,0.04,21153.72,14185.5,0.26180445150882214
UCGXMW0suZvGU0zYVaQfnmyw,Hayes Family Vlog,124000,49,238,1,0.5918367346938775,0.20408163265306123,0.7346938775510204,1.0,0.061224489795918366,79679.40816326531,60550.0,0.26014283295183627
UCKGhcY5F8Xo3O-R_eo58ISg,Simple Indian family vlog,10900,20,974,0,0.45,0.0,1.0,0.55,0.55,90.3,84.0,0.2521204876190737
UCvthuVsurPaVz2a7_4LepGg,Family Fun Pack,10500000,50,3449,2,0.08,0.14,0.32,0.76,0.44,73750.22,46599.5,0.25190767985955986
UCT-eeAawywE0UG_qvoA_HBQ,Actor Ashwanth,36500,50,269,3,0.08,0.28,0.22,0.2,0.52,25740.24,2740.5,0.2517589305505184
UCspL7qWLI7jfbPrZWm8KLEg,S Family vlogs,7150,50,891,2,0.86,0.02,1.16,1.14,0.12,801.32,677.5,0.2514911448856128
UCN2FNjALOC1OoryKcssOi5Q,The Sangwan Family,824000,50,524,0,0.22,0.0,1.06,1.12,0.2,49272.48,44162.0,0.24839979792013933
UCWw_fOUvuGFonxrA9j29V-Q,Family Vlogs,273000,49,1179,0,0.8163265306122449,0.0,1.2244897959183674,1.0816326530612246,0.14285714285714285,2774.6938775510203,2575.0,0.24702226745483938
