channel,category,is_family,viral_idx,viral_views,viral_exploit_score,pre_mean,post_mean,drift_change
bratayley,family,1,147,21678897,0.09958195,0.048958037,0.05677041,0.0078123733
bratayley,family,1,167,43501205,-0.032924287,0.03687164,0.06670964,0.029838
bratayley,family,1,180,23863204,0.072890595,0.060600933,0.021947233,-0.0386537
bratayley,family,1,184,15659712,0.40725052,0.059183955,0.019852333,-0.039331622
bratayley,family,1,265,23384393,0.26135403,0.03440461,0.050052118,0.015647508
bratayley,family,1,391,31101603,0.15220208,0.043937374,0.067341246,0.023403872
bratayley,family,1,491,9586190,0.04585335,0.014845863,0.034612186,0.019766323
bratayley,family,1,509,15283458,-0.09081164,0.03187479,-0.0008013735,-0.032676164
bratayley,family,1,580,10172929,-0.16304398,0.025629394,0.077652164,0.05202277
bratayley,family,1,861,15957785,0.07481047,0.060565934,0.023063777,-0.037502155
bratayley,family,1,898,15918897,-0.026889337,0.041690104,0.027348787,-0.014341317
bratayley,family,1,928,9551664,-0.004160594,0.021228807,0.04889202,0.027663214
bratayley,family,1,935,8642582,0.053485986,0.03234459,0.019179739,-0.013164852
bratayley,family,1,966,11628027,-0.03866537,0.04007021,0.03950624,-0.000563968
bratayley,family,1,969,18024749,0.112264425,0.027942417,0.05429946,0.026357042
bratayley,family,1,978,18258231,0.08486103,0.026816467,0.032666005,0.0058495384
bratayley,family,1,979,13253914,-0.07521704,0.03611805,0.04126383,0.0051457807
bratayley,family,1,986,13182513,0.13972108,0.055541378,0.021117747,-0.03442363
bratayley,family,1,1037,13084003,-0.09935762,0.018733239,0.015548689,-0.0031845495
bratayley,family,1,1038,8948413,-0.09758453,0.011227041,0.02004562,0.008818579
bratayley,family,1,1043,8241796,-0.031070096,-0.018559366,0.06385712,0.08241649
bratayley,family,1,1046,8407527,-0.024156252,-0.0037760376,0.055183485,0.05895952
bratayley,family,1,1083,11591064,0.13283971,0.04982477,0.034003243,-0.015821528
bratayley,family,1,1096,14225795,-0.03230226,0.04065396,0.049825113,0.009171154
bratayley,family,1,1102,21485607,0.100620806,0.015727136,0.07017204,0.054444905
bratayley,family,1,1153,9760386,-0.0009695068,0.040651493,0.00602326,-0.034628235
bratayley,family,1,1159,39230855,-0.014822259,0.04916252,-0.010263066,-0.059425585
bratayley,family,1,1170,29223907,-0.05065573,0.007508065,0.025956828,0.018448763
bratayley,family,1,1176,32182738,0.011998858,-0.0004942315,0.049661256,0.050155487
bratayley,family,1,1177,8368600,-0.078409106,-0.0035396041,0.05671221,0.060251813
bratayley,family,1,1179,16765333,0.106302634,0.0032502771,0.044613462,0.041363183
bratayley,family,1,1181,10198306,0.12114847,0.01283741,0.04072415,0.02788674
bratayley,family,1,1185,12800654,0.15240383,0.012419524,0.040067952,0.027648428
bratayley,family,1,1203,13737611,-0.027360234,0.026574932,0.04780707,0.02123214
bratayley,family,1,1211,10153353,-0.0744766,0.049931485,0.024356028,-0.025575457
bratayley,family,1,1214,10979386,0.05441884,0.042342596,0.02998242,-0.012360176
bratayley,family,1,1250,8299831,-0.028358731,0.045568235,0.0011584099,-0.044409826
bratayley,family,1,1270,11792195,-0.11582245,-0.0044492064,-0.008622778,-0.0041735712
bratayley,family,1,1293,11709009,0.0026150532,-0.018236673,0.0016391347,0.019875808
bratayley,family,1,1304,9762931,0.060146205,-0.0015677566,0.03207561,0.033643365
bratayley,family,1,1311,10572983,0.17686735,0.014381418,0.016852727,0.0024713092
bratayley,family,1,1323,18310782,-0.053236887,0.042116564,0.019658936,-0.022457628
bratayley,family,1,1324,29057215,0.037647635,0.044524945,0.009837906,-0.03468704
bratayley,family,1,1382,35230771,-0.19769602,0.019288074,0.011982964,-0.00730511
bratayley,family,1,1416,8190139,0.13992447,0.009044685,0.0112148905,0.002170205
bratayley,family,1,1467,10519352,0.017925747,-0.012257939,0.014324118,0.026582059
bratayley,family,1,1476,13758445,0.0046540275,0.010895263,0.028996643,0.01810138
bratayley,family,1,1486,8283431,0.04203237,0.0130347675,0.025584761,0.012549994
bratayley,family,1,1526,8828097,0.04291903,0.01137221,0.03241729,0.02104508
bratayley,family,1,1573,28909414,-0.030661512,0.029834816,0.02451294,-0.005321877
bratayley,family,1,1594,18115435,-0.03698605,0.020724623,0.007810122,-0.012914501
bratayley,family,1,1625,9073269,0.05437453,0.033488985,0.053923395,0.02043441
bratayley,family,1,1665,8912209,0.08654143,0.012424344,-0.011674309,-0.024098653
bratayley,family,1,1668,18864804,0.066909865,0.015593649,-0.017989106,-0.033582754
bratayley,family,1,1671,23781670,-0.04138892,0.031161522,-0.010335797,-0.04149732
bratayley,family,1,1853,9607913,0.005097728,0.03588983,0.022972558,-0.012917273
bratayley,family,1,1873,14799941,0.041063316,0.010619485,0.06032392,0.049704436
bratayley,family,1,1919,8337106,-0.0510685,0.036769405,0.03183939,-0.0049300157
bratayley,family,1,2113,9041023,0.07450034,0.046197996,0.07241433,0.026216336
bratayley,family,1,2132,15094780,0.0767785,0.078949355,0.055892482,-0.023056872
bratayley,family,1,2166,10516463,-0.012797195,0.008586669,0.045564722,0.03697805
bratayley,family,1,2252,8213659,0.077622466,0.03141724,0.0442615,0.012844261
bratayley,family,1,2294,11133931,0.11509746,0.035573397,0.0146864625,-0.020886935
bratayley,family,1,2313,10434253,-0.009959383,0.0052409577,0.035239317,0.029998358
brentrivera,family,1,284,72712341,-0.06862883,0.04749395,0.03791798,-0.0095759705
brentrivera,family,1,451,68017455,0.049937088,0.13111411,0.15349568,0.022381574
brentrivera,family,1,455,88399114,0.04089738,0.1348486,0.13597481,0.0011262149
brentrivera,family,1,459,79800612,0.09734313,0.12193987,0.14722298,0.025283113
brentrivera,family,1,461,78226498,0.112761974,0.11359282,0.16730818,0.053715363
brentrivera,family,1,483,134288194,0.044230677,0.13126929,0.11279332,-0.018475972
brentrivera,family,1,491,61168494,0.06639708,0.1393898,0.0685369,-0.0708529
brentrivera,family,1,506,66947346,-0.03310877,0.07517062,0.09599723,0.020826608
brentrivera,family,1,510,113022881,0.08949974,0.07461313,0.06647528,-0.008137852
brentrivera,family,1,513,81803333,0.046185724,0.08117331,0.09195276,0.010779455
